FrameCount,Breath Period (sec),Walking Pace (Hz)
1,3.0,0.0
2,3.0,1.5
3,3.0,1.6666666
4,3.0,1.75
5,3.0,1.8
6,3.0,1.8333334
7,3.0,1.8571428
8,3.0,1.875
9,3.0,1.8888888
10,3.0,1.8
11,3.0,1.8181819
12,3.0,1.9166666
13,3.0,1.8461539
14,3.0,1.8571428
15,3.0,1.8666667
16,3.0,1.875
17,3.0,1.882353
18,3.0,1.8888888
19,3.0,1.8947369
20,3.0,1.95
21,3.0,1.9523809
22,3.0,1.9545455
23,3.0,1.9565217
24,3.0,1.9583334
25,3.0,1.96
26,3.0,1.9615384
27,3.0,1.962963
28,3.0,1.9642857
29,3.0,1.9655173
30,3.0,1.9666667
31,3.0,1.967742
32,3.0,1.96875
33,2.0,1.969697
34,2.0,1.9705882
35,2.0,1.9714285
36,2.0,1.9722222
37,2.0,1.972973
38,2.0,1.9736842
39,2.0,1.9743589
40,2.0,1.95
41,2.0,1.9756098
42,3.0,1.9761904
43,2.0,1.9767442
44,2.0,1.9772727
45,2.0,1.9777777
46,2.0,1.9782609
47,2.0,1.9787234
48,2.0,1.9791666
49,2.0,1.9795918
50,2.0,1.98
51,3.0,1.9803921
52,2.0,1.9807693
53,2.0,1.981132
54,2.0,1.9814814
55,2.0,1.9818182
56,2.0,1.9821428
57,2.0,1.9824561
58,2.0,1.9827586
59,2.0,1.9830508
60,2.0,2.0
61,2.0,2.0
62,2.0,2.0
63,2.0,2.0
64,2.0,2.0
65,2.0,2.0
66,2.0,2.0
67,2.0,2.0
68,2.0,2.0
69,2.0,2.0
70,2.0,2.0
71,2.0,2.0
72,3.0,2.0
73,2.0,2.0
74,2.0,2.0135136
75,2.0,2.0
76,2.0,2.0
77,2.0,2.012987
78,2.0,2.0128205
79,2.0,2.012658
80,2.0,2.0125
81,2.0,2.0123458
82,2.0,2.012195
83,2.0,2.0120482
84,2.0,2.0119047
85,2.0,2.0117648
86,2.0,2.011628
87,2.0,2.0114942
88,2.0,2.0113637
89,2.0,2.011236
90,2.0,2.011111
91,2.0,2.010989
92,2.0,2.0108695
93,3.0,2.0107527
94,2.0,2.0106382
95,2.0,2.0105264
96,2.0,2.0104167
97,2.0,2.0103092
98,2.0,2.0204082
99,2.0,2.010101
100,2.0,2.01
101,2.0,2.009901
102,2.0,2.009804
103,2.0,2.0097086
104,2.0,2.0192308
105,2.0,2.0190477
106,2.0,2.018868
107,2.0,2.0280373
108,2.0,2.0277777
109,2.0,2.027523
110,2.0,2.0272727
111,3.0,2.0270271
